week,week_start,total_sessions,running_sessions,strength_sessions,yoga_sessions,hiit_sessions,total_min,running_km,cycling_km,total_kcal,total_elevation_m,avg_hr
2018-W09,2018-02-27,2,0,0,0,1,115.0,0.0,0.0,,0.0,
2018-W10,2018-03-06,6,0,0,0,3,219.8,0.0,0.0,,0.0,
2018-W11,2018-03-13,2,0,0,0,2,108.7,0.0,0.0,,0.0,
2018-W12,2018-03-20,4,0,0,0,3,212.1,0.0,0.0,,0.0,
2018-W13,2018-03-26,3,0,0,0,2,159.6,0.0,0.0,,0.0,
2018-W14,2018-04-02,4,0,0,0,3,150.9,0.0,0.0,,0.0,
2018-W15,2018-04-09,4,0,0,0,3,234.1,0.0,0.0,,0.0,
2018-W16,2018-04-16,7,0,0,0,4,282.3,0.0,0.0,,0.0,
2018-W17,2018-04-24,6,0,0,0,0,101.8,0.0,0.0,,0.0,
2018-W18,2018-04-30,6,0,0,0,2,187.3,0.0,0.0,,0.0,
2018-W19,2018-05-07,3,0,0,0,2,187.4,0.0,0.0,,0.0,
2018-W20,2018-05-15,2,0,0,0,2,120.8,0.0,0.0,,0.0,
2018-W21,2018-05-21,4,0,0,0,3,243.0,0.0,0.0,,0.0,
2018-W22,2018-05-29,2,0,0,0,2,118.9,0.0,0.0,,0.0,
2018-W23,2018-06-04,3,0,0,0,3,179.8,0.0,0.0,,0.0,
2018-W24,2018-06-12,2,0,0,0,2,123.5,0.0,0.0,,0.0,
2018-W25,2018-06-19,3,0,0,0,2,169.8,0.0,0.0,,0.0,
2018-W26,2018-06-25,3,0,0,0,2,177.2,0.0,0.0,,0.0,
2018-W27,2018-07-03,129,0,0,0,1,792.5,0.0,0.0,,0.0,
2018-W28,2018-07-09,184,0,0,1,2,1265.1,0.0,0.0,,0.0,
2018-W29,2018-07-16,183,0,0,1,1,1403.2,0.0,0.0,,0.0,
2018-W30,2018-07-23,46,0,0,0,0,188.4,0.0,0.0,,0.0,
2018-W31,2018-08-02,57,0,0,0,0,305.0,0.0,0.0,,0.0,
2018-W32,2018-08-06,169,0,0,0,2,1119.0,0.0,0.0,,0.0,
2018-W33,2018-08-16,102,0,0,0,0,692.9,0.0,0.0,,0.0,
2018-W34,2018-08-20,229,0,0,0,2,1246.2,0.0,0.0,,0.0,
2018-W35,2018-08-27,181,0,0,1,2,1140.9,0.0,0.0,,0.0,
2018-W36,2018-09-03,2,0,0,0,2,145.6,0.0,0.0,,0.0,
2018-W37,2018-09-12,1,0,0,0,1,49.3,0.0,0.0,,0.0,
2018-W38,2018-09-18,1,0,0,0,1,48.7,0.0,0.0,,0.0,
2018-W39,2018-09-29,5,0,0,0,0,113.9,0.0,0.0,,0.0,
2018-W40,2018-10-01,5,0,0,1,2,290.7,0.0,0.0,,0.0,
2018-W41,2018-10-11,1,0,0,0,0,16.3,0.0,0.0,,960.0,
2018-W42,2018-10-15,216,0,0,0,1,2074.9,0.0,0.0,,737.0,
2018-W43,2018-10-22,232,0,0,0,1,1736.5,0.0,0.0,,0.0,
2018-W44,2018-10-29,215,0,0,0,1,2740.8,0.0,0.0,,0.0,
2018-W45,2018-11-05,100,0,0,0,2,757.8,0.0,0.0,,0.0,
2018-W46,2018-11-13,3,0,0,0,1,180.0,0.0,0.0,,0.0,
2018-W47,2018-11-20,4,0,0,0,1,257.2,0.0,0.0,,0.0,
2018-W50,2018-12-11,149,0,0,0,0,1545.0,0.0,0.0,,0.0,
2018-W51,2018-12-17,33,0,0,0,2,457.3,0.0,0.0,,0.0,
2018-W52,2018-12-24,227,0,0,0,1,2073.6,0.0,0.0,,0.0,
2018-W53,2018-12-31,33,0,0,0,0,433.9,0.0,0.0,,0.0,
2019-W01,2019-01-09,1,0,0,0,0,53.1,0.0,0.0,,0.0,
2019-W02,2019-01-15,2,0,0,0,1,114.7,0.0,0.0,,0.0,
2019-W03,2019-01-22,3,0,0,0,2,155.4,0.0,0.0,,0.0,
2019-W04,2019-01-30,1,0,0,0,0,2.3,0.0,0.0,,0.0,
2019-W05,2019-02-06,2,0,0,1,0,140.5,0.0,0.0,,0.0,
2019-W06,2019-02-11,4,0,0,2,0,192.9,0.0,0.0,,0.0,
2019-W07,2019-02-19,3,0,0,1,1,208.7,0.0,0.0,,0.0,
2019-W10,2019-03-16,1,0,0,0,0,7.0,0.0,0.0,,0.0,
2019-W13,2019-04-02,119,0,0,0,0,1416.8,0.0,0.0,,1222.0,
2019-W14,2019-04-08,71,0,0,0,0,654.3,0.0,0.0,,33065.0,
2019-W15,2019-04-15,3,0,0,0,0,40.1,0.0,0.0,,8797.0,
2019-W16,2019-04-24,4,0,0,0,0,73.0,0.0,0.0,,18360.0,
